Global_active_power,Global_reactive_power,Voltage,Sub_metering_2,Sub_metering_3,Energy_consumption,day,month,hour,min
0.476,0.074,243.33,0.0,0.0,7.933333333333334,23.0,11.0,17.0,45
0.548,0.27,241.08,1.0,0.0,8.133333333333333,25.0,12.0,12.0,1
1.402,0.0,240.49,0.0,18.0,5.366666666666667,4.0,1.0,13.0,39
0.294,0.114,239.72,0.0,0.0,4.9,24.0,6.0,4.0,59
0.204,0.092,243.36,0.0,0.0,3.4,27.0,9.0,4.0,36
3.062,0.096,235.75,0.0,17.0,20.05,11.0,11.0,17.0,51
1.364,0.0,240.46,0.0,18.0,4.733333333333334,15.0,10.0,8.0,26
0.746,0.14,243.95,1.0,1.0,9.433333333333334,15.0,9.0,22.0,59
0.35,0.132,243.35,0.0,1.0,4.833333333333333,14.0,3.0,7.0,1
1.302,0.06,236.22,0.0,17.0,3.6999999999999993,10.0,3.0,8.0,55
2.47,0.244,238.15,1.0,1.0,20.05,19.0,2.0,7.0,7
1.422,0.174,240.82,0.0,17.0,6.699999999999999,1.0,3.0,13.0,59
0.424,0.056,241.32,0.0,0.0,7.066666666666666,11.0,1.0,12.0,40
0.178,0.15,240.15,0.0,0.0,2.966666666666667,30.0,8.0,13.0,30
2.802,0.358,238.8,1.0,1.0,7.700000000000003,7.0,12.0,16.0,56
0.498,0.0,239.33,0.0,0.0,8.3,3.0,3.0,9.0,47
0.402,0.226,243.91,2.0,0.0,4.7,21.0,11.0,6.0,27
1.09,0.41300000000000003,242.17,1.0,12.0,5.166666666666668,30.0,9.0,20.0,44
0.754,0.07,239.34,0.0,0.0,12.566666666666666,21.0,1.0,17.0,30
1.43,0.0,238.25,0.0,18.0,5.833333333333332,4.0,11.0,10.0,24
0.366,0.192,241.97,0.0,1.0,5.1,18.0,9.0,19.0,9
1.42,0.18,238.28,0.0,17.0,6.666666666666668,19.0,3.0,11.0,20
0.24,0.0,248.75,0.0,0.0,4.0,19.0,1.0,3.0,29
1.372,0.134,240.07,0.0,18.0,2.866666666666667,26.0,8.0,8.0,32
0.976,0.07,243.12,0.0,1.0,15.266666666666666,19.0,11.0,22.0,20
0.26,0.084,241.81,0.0,1.0,3.333333333333333,9.0,3.0,4.0,23
1.67,0.352,237.66,1.0,18.0,8.833333333333332,10.0,10.0,16.0,29
2.906,0.104,240.88,2.0,19.0,20.05,12.0,1.0,8.0,15
1.512,0.0,243.98,0.0,18.0,7.199999999999999,25.0,3.0,16.0,23
1.188,0.102,238.69,1.0,0.0,18.8,4.0,3.0,20.0,50
0.244,0.0,241.59,0.0,0.0,4.066666666666666,10.0,8.0,3.0,44
