Date,Time,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
2009-11-23,17:45:00,0.476,0.074,243.33,1.8,0.0,0.0,0.0
2008-12-25,12:01:00,0.548,0.27,241.08,2.4,0.0,1.0,0.0
2007-01-04,13:39:00,1.402,0.0,240.49,5.8,0.0,0.0,18.0
2010-06-24,04:59:00,0.294,0.114,239.72,1.2,0.0,0.0,0.0
2009-09-27,04:36:00,0.204,0.092,243.36,0.8,0.0,0.0,0.0
2008-11-11,17:51:00,3.062,0.096,235.75,13.0,0.0,0.0,17.0
2008-10-15,08:26:00,1.364,0.0,240.46,5.6,0.0,0.0,18.0
2008-09-15,22:59:00,0.746,0.14,243.95,3.2,1.0,1.0,1.0
2010-03-14,07:01:00,0.35,0.132,243.35,1.4,0.0,0.0,1.0
2007-03-10,08:55:00,1.302,0.06,236.22,5.4,1.0,0.0,17.0
2010-02-19,07:07:00,2.47,0.244,238.15,10.4,0.0,1.0,1.0
2007-03-01,13:59:00,1.422,0.174,240.82,5.8,0.0,0.0,17.0
2008-01-11,12:40:00,0.424,0.056,241.32,2.0,0.0,0.0,0.0
2008-08-30,13:30:00,0.178,0.15,240.15,0.8,0.0,0.0,0.0
2008-12-07,16:56:00,2.802,0.358,238.8,11.8,37.0,1.0,1.0
2008-03-03,09:47:00,0.498,0.0,239.33,2.0,0.0,0.0,0.0
2009-11-21,06:27:00,0.402,0.226,243.91,1.8,0.0,2.0,0.0
2010-09-30,20:44:00,1.09,0.43,242.17,4.8,0.0,1.0,12.0
2008-01-21,17:30:00,0.754,0.07,239.34,3.2,0.0,0.0,0.0
2009-11-04,10:24:00,1.43,0.0,238.25,6.0,0.0,0.0,18.0
2010-09-18,19:09:00,0.366,0.192,241.97,1.8,0.0,0.0,1.0
2009-03-19,11:20:00,1.42,0.18,238.28,6.0,0.0,0.0,17.0
2009-01-19,03:29:00,0.24,0.0,248.78,1.0,0.0,0.0,0.0
2009-08-26,08:32:00,1.372,0.134,240.07,5.6,2.0,0.0,18.0
2009-11-19,22:20:00,0.976,0.07,243.12,4.0,0.0,0.0,1.0
2009-03-09,04:23:00,0.26,0.084,241.81,1.2,0.0,0.0,1.0
2009-10-10,16:29:00,1.67,0.352,237.66,7.2,0.0,1.0,18.0
2009-01-12,08:15:00,2.906,0.104,240.88,12.0,0.0,2.0,19.0
2008-03-25,16:23:00,1.512,0.0,243.98,6.2,0.0,0.0,18.0
2008-03-04,20:50:00,1.188,0.102,238.69,5.0,0.0,1.0,0.0
